Countries and areas,Latitude,Longitude,Year,BCG,DTP1,DTP3,Polio3,MCV1,MCV2 (F),HepB3,Hib3,Rota,PCV3,All Immunization Received?
Afghanistan,33.9391,67.71,2021,84,74,66,71,63,44,66,66,59,65,Yes
Albania,41.1533,20.1683,2021,99,98,98,98,87,92,98,98,98,89,Yes
Algeria,28.0339,1.6596,2021,99,96,91,91,80,77,91,91,,91,No
Andorra,42.5063,1.5218,2021,,99,99,98,99,97,98,98,,95,No
Angola,-11.2027,17.8739,2021,56,57,45,43,36,32,41,41,36,34,Yes
Anguilla,18.2206,-63.0686,2021,,,,,,,,,,,No
Antigua and Barbuda,17.0608,-61.7964,2021,,93,92,92,85,76,92,92,,,No
Argentina,-38.4161,-63.6167,2021,81,82,76,74,81,79,76,76,74,74,Yes
Armenia,40.0691,45.0382,2021,98,96,93,93,94,94,93,93,92,93,Yes
Australia,-25.2744,133.7751,2021,,98,95,95,93,94,95,95,95,96,No
Austria,47.5162,14.5501,2021,,95,85,85,95,88,85,85,61,,No
Azerbaijan,40.1431,47.5769,2021,95,92,89,93,93,90,89,89,,90,No
Bahamas,25.0343,-77.3963,2021,,79,75,75,82,82,75,75,75,82,No
Bahrain,25.9304,50.6378,2021,,99,98,99,99,99,98,98,99,99,No
Bangladesh,23.685,90.3563,2021,99,99,98,98,97,93,98,98,,99,No
Barbados,13.1939,-59.5432,2021,,83,82,84,77,70,82,82,,83,No
Belarus,53.7098,27.9534,2021,98,98,98,97,98,98,98,98,,,No
Belgium,50.5039,4.4699,2021,,98,98,98,96,85,97,97,86,94,No
Belize,17.1899,-88.4976,2021,84,83,83,83,79,77,83,83,,,No
Benin,9.3077,2.3158,2021,88,84,76,75,68,,76,76,76,73,No
Bhutan,27.5142,90.4336,2021,99,99,98,98,97,91,98,98,,95,No
Bolivia (Plurinational State of),-16.2902,-63.5887,2021,78,75,70,70,75,56,70,70,71,70,Yes
Bosnia and Herzegovina,43.9159,17.6791,2021,95,89,73,73,68,76,80,62,,,No
Botswana,-22.3285,24.6849,2021,98,98,95,96,97,70,95,95,85,90,Yes
Brazil,-14.235,-51.9253,2021,63,74,68,68,73,46,68,68,69,69,Yes
British Virgin Islands,18.4207,-64.6399,2021,,,,,,,,,,,No
Brunei Darussalam,4.5353,114.7277,2021,99,99,99,99,99,99,99,99,,,No
Bulgaria,42.7339,25.4858,2021,97,92,89,89,89,86,89,89,45,86,Yes
Burkina Faso,12.2383,-1.5616,2021,98,95,91,91,88,71,91,91,91,66,Yes
Burundi,-3.3731,29.9189,2021,95,96,94,94,90,85,94,94,94,94,Yes
Cabo Verde,16.5388,-23.0418,2021,98,93,93,94,95,86,94,94,,,No
Cambodia,12.5657,104.991,2021,95,94,92,93,84,71,92,92,,90,No
Cameroon,7.3697,12.3547,2021,77,76,69,70,62,35,69,69,65,67,Yes
Canada,56.1304,-106.3468,2021,,94,92,92,90,83,84,92,84,84,No
Central African Republic,6.6111,20.9394,2021,61,54,42,46,41,,42,42,,40,No
Chad,15.4542,18.7322,2021,67,73,58,58,55,,58,58,,,No
Chile,-35.6751,-71.543,2021,98,99,95,95,92,58,98,95,,92,No
China,35.8617,104.1954,2021,99,99,99,99,99,99,99,,,,No
Colombia,4.5709,-74.2973,2021,87,90,86,86,86,86,86,86,86,84,Yes
Comoros,-11.6455,43.3333,2021,96,95,85,89,82,19,85,85,,,No
Congo,-0.228,15.8277,2021,81,81,77,75,68,31,77,77,23,75,Yes
Cook Islands,-21.2367,-159.7777,2021,99,99,98,98,99,98,98,98,,,No
Costa Rica,9.7489,-83.7534,2021,88,99,99,99,89,69,94,99,91,92,Yes
Côte d'Ivoire,7.54,-5.5471,2021,,,,,,,,,,,No
Croatia,45.1,15.2,2021,97,98,92,92,89,90,90,92,,75,No
Cuba,21.5218,-77.7812,2021,99,99,99,98,99,99,99,99,,,No
Cyprus,35.1264,33.4299,2021,,98,96,96,86,88,94,92,,81,No
Czechia,49.8175,15.473,2021,,98,94,94,97,90,94,94,,,No
Democratic People's Republic of Korea,40.3399,127.5101,2021,95,42,41,,42,41,41,41,,,No
Democratic Republic of the Congo,-4.0383,21.7587,2021,67,81,65,65,55,,65,65,52,63,No
Denmark,56.2639,9.5018,2021,,98,97,97,95,94,,97,,96,No
Djibouti,11.8251,42.5903,2021,61,70,59,59,50,48,59,59,66,59,Yes
Dominica,15.414,-61.3709,2021,89,96,92,92,92,88,92,92,,,No
Dominican Republic,18.7357,-70.1627,2021,99,99,84,83,88,60,83,83,80,71,Yes
